id,name,model,brand,main_category,sub_category,image_url,detail_url,options
36,더함 스마트 구글 5.0 OS 안드로이드 14 QLED TV 65인치 120Hz+이동형스탠드 (G654Q-5.0-삼텐바이미),G654Q-5.0-삼텐바이미,더함,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/cac29b79c627966e53bdc6aab9272f45.jpg,http://rentalplace.kr/html/dh_prod/prod_view/25324,"{'화면크기': '60인치대', '형태': '스탠드만', '타입': 'QLED TV', '월렌탈료': '2만원대', '제품정보': '상세페이지 참고'}"
37,삼성 2024 Crystal UHD TV 85인치 (스탠드형) (KU85UD7030FXKR),KU85UD7030FXKR_ST,삼성,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/cbfdf2dc653c9b87f4daf1c2fb38c790_1.png,http://rentalplace.kr/html/dh_prod/prod_view/27086,"{'화면크기': '80인치대', '형태': '스탠드만', '타입': 'UHD TV', '월렌탈료': '6만원대', '규격': '(스탠드 미포함) 1901.2 x 1088.4 x 61.4 mm\n(스탠드 포함) 1901.2 x 1132.3 x 359 mm'}"
38,삼성 QLED 55인치 스탠드형 (KQ55QD68AFXKR_S),KQ55QD68AFXKR_S,삼성,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/35f75b1efd3e1e9361a13d5d92c0c137_1_2.png,http://rentalplace.kr/html/dh_prod/prod_view/19905,"{'화면크기': '50인치대', '형태': '스탠드만', '타입': 'QLED TV', '월렌탈료': '3만원대', '규격': '1232.1 x 745.9 x 224 mm'}"
39,삼성 QLED 75인치 스탠드형 (KQ75QD68AFXKR_S),KQ75QD68AFXKR_S,삼성,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/88bc6257550b90189335f84f28a63e0a_1_1_1.png,http://rentalplace.kr/html/dh_prod/prod_view/19903,"{'화면크기': '70인치대', '형태': '스탠드만', '타입': 'QLED TV', '월렌탈료': '7만원대', '규격': '1676.7 x 997.3 x 320 mm'}"
40,삼성 QLED 85인치 스탠드형 (KQ85QD68AFXKR_S),KQ85QD68AFXKR_S,삼성,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/35f75b1efd3e1e9361a13d5d92c0c137_1_1_1.png,http://rentalplace.kr/html/dh_prod/prod_view/19902,"{'화면크기': '80인치대', '형태': '스탠드만', '타입': 'QLED TV', '월렌탈료': '9만원이상', '규격': '1900.9 x 1123.3 x 345.1 mm'}"
41,삼성 THE Frame QLED 4K TV (KQ65LSD03AFXKR) (스탠드),KQ65LSD03AFXKR_S,삼성,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/9df57eb7166b43704fc0a74e1526b6cf_2.png,http://rentalplace.kr/html/dh_prod/prod_view/19915,"{'화면크기': '60인치대', '형태': '스탠드만', '타입': 'QLED TV', '월렌탈료': '7만원대', '규격': '1456.8 x 868.9 x 260.9 mm'}"
42,삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),KQ55LSD01AFXKR,삼성,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/42f717ee83112c763809b416fa2fc8bc_1_1.png,http://rentalplace.kr/html/dh_prod/prod_view/22078,"{'화면크기': '50인치대', '형태': '스탠드만', '타입': 'UHD TV', '월렌탈료': '5만원대', '규격': '(스탠드 제외) 1254.9 x 748.3 x 221 mm\n(스탠드 포함) 1254.9 x 1237.4 x 482.8 mm'}"
43,삼성 The Serif 디자인 UHD TV 65인치 (KQ65LSD01AFXKR),KQ65LSD01AFXKR,삼성,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/34b57d1cda1ed3edac42aa9e9b31ba7f.png,http://rentalplace.kr/html/dh_prod/prod_view/22079,"{'화면크기': '60인치대', '형태': '스탠드만', '타입': 'UHD TV', '월렌탈료': '7만원대', '규격': '(스탠드 제외) 1479.1 x 875.1 x 280 mm\n(스탠드 포함) 1479.1 x 1361.2 x 499 mm'}"
44,삼성 UHD TV (KU55UD7030FXKR) (벽걸이),KU55UD7030FXKR_W,삼성,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/676814b5df317e3d7f5473a893b3ca94_1_1_1.png,http://rentalplace.kr/html/dh_prod/prod_view/19356,"{'화면크기': '50인치대', '형태': '벽걸이만', '타입': 'UHD TV', '월렌탈료': '3만원대', '제품정보': '상세페이지 참고'}"
45,삼성 UHD TV 75인치 스탠드형 (KU75UD7050FXKR),KU75UD7050FXKR_S,삼성,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/6748c669faca84927a0732cea1143a06_2.png,http://rentalplace.kr/html/dh_prod/prod_view/19994,"{'화면크기': '70인치대', '형태': '스탠드만', '타입': 'UHD TV', '월렌탈료': '5만원대', '규격': '1677.5 x 1006.3 x 325 mm'}"
